District,Year,Offence Group,Total Number of Offences
Cannington District,17,Forgery,31.0
Cannington District,17,Fraud (Credit Card),1623.0
Cannington District,17,Fraud (Not Elsewhere Classified),1262.0
Cannington District,17,Graffiti,168.0
Cannington District,17,Kidnapping / Child Stealing,3.0
Cannington District,17,Manslaughter,1.0
Cannington District,17,Murder,1.0
Cannington District,17,Non-Assaultive Sexual Offences,68.0
Cannington District,17,Other Drug Offences,33.0
Cannington District,17,Other Fire Related Offences,1.0
Cannington District,17,Possess Stolen Property,521.0
Cannington District,17,Possess Weapon to Cause Fear (Family),49.0
Cannington District,17,Possess Weapon to Cause Fear (Non-Family),192.0
Cannington District,17,Possession of Drug Paraphernalia,852.0
Cannington District,17,Receiving Stolen Property,64.0
Cannington District,17,Regulated Weapons Offences,331.0
Cannington District,17,Robbery (Business),15.0
Cannington District,17,Robbery (Non-Business),133.0
Cannington District,17,Serious Assault (Family),206.0
Cannington District,17,Serious Assault (Non-Family),268.0
Cannington District,17,Sexual Assault,363.0
Cannington District,17,Stealing (Not Elsewhere Classified),4265.0
Cannington District,17,Stealing From Dwelling,943.0
Cannington District,17,Stealing From Motor Vehicle (Contents or Parts),1872.0
Cannington District,17,Stealing From Other Premises or Place,1249.0
Cannington District,17,Stealing From Retail Premises (Shoplift),766.0
Cannington District,17,Stealing as a Servant,15.0
Cannington District,17,Stealing of Motor Vehicle,765.0
Cannington District,17,Threatening Behaviour (Family),98.0
Cannington District,17,Threatening Behaviour (Non-Family),127.0
Cannington District,18,Assault Police Officer,50.0
Cannington District,18,Attempted / Conspiracy to Murder,1.0
Cannington District,18,Breach of Family Violence Restraint Order,480.0
Cannington District,18,Breach of Police Order,174.0
Cannington District,18,Breach of Violence Restraint Order,62.0
Cannington District,18,Burglary (Dwelling),2620.0
Cannington District,18,Burglary (Non-Dwelling),662.0
Cannington District,18,Cause Bushfire,4.0
Cannington District,18,Cause Damage by Fire,49.0
Cannington District,18,Common Assault (Family),1151.0
Cannington District,18,Common Assault (Non-Family),565.0
Cannington District,18,Criminal Damage,506.0
Cannington District,18,Cultivate or Manufacture Drugs,65.0
Cannington District,18,Damage,2187.0
Cannington District,18,Deprivation of Liberty,30.0
Cannington District,18,Driving Causing Death,3.0
Cannington District,18,Drug Dealing,229.0
Cannington District,18,Drug Possession,1416.0
Cannington District,18,Forgery,18.0
Cannington District,18,Fraud (Credit Card),4684.0
Cannington District,18,Fraud (Not Elsewhere Classified),387.0
Cannington District,18,Graffiti,157.0
Cannington District,18,Kidnapping / Child Stealing,1.0
Cannington District,18,Manslaughter,1.0
Cannington District,18,Murder,3.0
Cannington District,18,Non-Assaultive Sexual Offences,103.0
Cannington District,18,Other Drug Offences,45.0
Cannington District,18,Other Fire Related Offences,0.0
Cannington District,18,Possess Stolen Property,609.0
Cannington District,18,Possess Weapon to Cause Fear (Family),43.0
Cannington District,18,Possess Weapon to Cause Fear (Non-Family),213.0
Cannington District,18,Possession of Drug Paraphernalia,859.0
Cannington District,18,Receiving Stolen Property,50.0
Cannington District,18,Regulated Weapons Offences,399.0
Cannington District,18,Robbery (Business),18.0
Cannington District,18,Robbery (Non-Business),123.0
Cannington District,18,Serious Assault (Family),246.0
Cannington District,18,Serious Assault (Non-Family),264.0
Cannington District,18,Sexual Assault,305.0
Cannington District,18,Stealing (Not Elsewhere Classified),0.0
Cannington District,18,Stealing From Dwelling,1797.0
Cannington District,18,Stealing From Motor Vehicle (Contents or Parts),4918.0
Cannington District,18,Stealing From Other Premises or Place,2610.0
Cannington District,18,Stealing From Retail Premises (Shoplift),1721.0
Cannington District,18,Stealing as a Servant,30.0
Cannington District,18,Stealing of Motor Vehicle,709.0
Cannington District,18,Threatening Behaviour (Family),144.0
Cannington District,18,Threatening Behaviour (Non-Family),133.0
Cannington District,19,Assault Police Officer,68.0
Cannington District,19,Attempted / Conspiracy to Murder,0.0
Cannington District,19,Breach of Family Violence Restraint Order,483.0
Cannington District,19,Breach of Police Order,103.0
Cannington District,19,Breach of Violence Restraint Order,51.0
Cannington District,19,Burglary (Dwelling),2883.0
Cannington District,19,Burglary (Non-Dwelling),617.0
Cannington District,19,Cause Bushfire,7.0
Cannington District,19,Cause Damage by Fire,52.0
Cannington District,19,Common Assault (Family),1148.0
Cannington District,19,Common Assault (Non-Family),608.0
Cannington District,19,Criminal Damage,485.0
Cannington District,19,Cultivate or Manufacture Drugs,53.0
Cannington District,19,Damage,2042.0
Cannington District,19,Deprivation of Liberty,38.0
Cannington District,19,Driving Causing Death,2.0
Cannington District,19,Drug Dealing,211.0
Cannington District,19,Drug Possession,1087.0
Cannington District,19,Forgery,49.0
Cannington District,19,Fraud (Credit Card),3832.0
Cannington District,19,Fraud (Not Elsewhere Classified),422.0
Cannington District,19,Graffiti,100.0
Cannington District,19,Kidnapping / Child Stealing,2.0
Cannington District,19,Manslaughter,0.0
Cannington District,19,Murder,3.0
Cannington District,19,Non-Assaultive Sexual Offences,60.0
Cannington District,19,Other Drug Offences,64.0
Cannington District,19,Other Fire Related Offences,1.0
Cannington District,19,Possess Stolen Property,452.0
Cannington District,19,Possess Weapon to Cause Fear (Family),47.0
Cannington District,19,Possess Weapon to Cause Fear (Non-Family),167.0
Cannington District,19,Possession of Drug Paraphernalia,642.0
Cannington District,19,Receiving Stolen Property,31.0
Cannington District,19,Regulated Weapons Offences,292.0
Cannington District,19,Robbery (Business),26.0
Cannington District,19,Robbery (Non-Business),169.0
Cannington District,19,Serious Assault (Family),268.0
Cannington District,19,Serious Assault (Non-Family),266.0
Cannington District,19,Sexual Assault,253.0
Cannington District,19,Stealing (Not Elsewhere Classified),0.0
Cannington District,19,Stealing From Dwelling,1826.0
Cannington District,19,Stealing From Motor Vehicle (Contents or Parts),4450.0
Cannington District,19,Stealing From Other Premises or Place,2700.0
Cannington District,19,Stealing From Retail Premises (Shoplift),2074.0
Cannington District,19,Stealing as a Servant,28.0
Cannington District,19,Stealing of Motor Vehicle,748.0
Cannington District,19,Threatening Behaviour (Family),160.0
Cannington District,19,Threatening Behaviour (Non-Family),138.0
Cannington District,20,Assault Police Officer,10.0
Cannington District,20,Attempted / Conspiracy to Murder,0.0
Cannington District,20,Breach of Family Violence Restraint Order,163.0
Cannington District,20,Breach of Police Order,58.0
Cannington District,20,Breach of Violence Restraint Order,15.0
Cannington District,20,Burglary (Dwelling),707.0
Cannington District,20,Burglary (Non-Dwelling),162.0
Cannington District,20,Cause Bushfire,4.0
Cannington District,20,Cause Damage by Fire,12.0
Cannington District,20,Common Assault (Family),328.0
Cannington District,20,Common Assault (Non-Family),141.0
Cannington District,20,Criminal Damage,123.0
Cannington District,20,Cultivate or Manufacture Drugs,12.0
Cannington District,20,Damage,585.0
Cannington District,20,Deprivation of Liberty,15.0
Cannington District,20,Driving Causing Death,1.0
Cannington District,20,Drug Dealing,58.0
Cannington District,20,Drug Possession,228.0
Cannington District,20,Forgery,2.0
Cannington District,20,Fraud (Credit Card),1255.0
Cannington District,20,Fraud (Not Elsewhere Classified),66.0
Cannington District,20,Graffiti,24.0
Cannington District,20,Kidnapping / Child Stealing,1.0
Cannington District,20,Manslaughter,0.0
Cannington District,20,Murder,0.0
Cannington District,20,Non-Assaultive Sexual Offences,18.0
Cannington District,20,Other Drug Offences,23.0
Cannington District,20,Other Fire Related Offences,3.0
Cannington District,20,Possess Stolen Property,104.0
Cannington District,20,Possess Weapon to Cause Fear (Family),11.0
Cannington District,20,Possess Weapon to Cause Fear (Non-Family),40.0
Cannington District,20,Possession of Drug Paraphernalia,155.0
Cannington District,20,Receiving Stolen Property,3.0
Cannington District,20,Regulated Weapons Offences,60.0
Cannington District,20,Robbery (Business),6.0
Cannington District,20,Robbery (Non-Business),41.0
Cannington District,20,Serious Assault (Family),74.0
Cannington District,20,Serious Assault (Non-Family),85.0
Cannington District,20,Sexual Assault,74.0
Cannington District,20,Stealing (Not Elsewhere Classified),0.0
Cannington District,20,Stealing From Dwelling,504.0
Cannington District,20,Stealing From Motor Vehicle (Contents or Parts),1217.0
Cannington District,20,Stealing From Other Premises or Place,630.0
Cannington District,20,Stealing From Retail Premises (Shoplift),517.0
Cannington District,20,Stealing as a Servant,1.0
Cannington District,20,Stealing of Motor Vehicle,189.0
Cannington District,20,Threatening Behaviour (Family),37.0
Cannington District,20,Threatening Behaviour (Non-Family),37.0
Fremantle District,10,Assault Police Officer,60.0
Fremantle District,10,Attempted / Conspiracy to Murder,0.0
Fremantle District,10,Breach of Family Violence Restraint Order,368.0
Fremantle District,10,Breach of Police Order,52.0
Fremantle District,10,Breach of Violence Restraint Order,101.0
Fremantle District,10,Burglary (Dwelling),2401.0
Fremantle District,10,Burglary (Non-Dwelling),915.0
Fremantle District,10,Cause Bushfire,6.0
Fremantle District,10,Cause Damage by Fire,79.0
Fremantle District,10,Common Assault (Family),426.0
Fremantle District,10,Common Assault (Non-Family),670.0
Fremantle District,10,Criminal Damage,356.0
Fremantle District,10,Cultivate or Manufacture Drugs,65.0
Fremantle District,10,Damage,3177.0
Fremantle District,10,Deprivation of Liberty,17.0
Fremantle District,10,Driving Causing Death,3.0
Fremantle District,10,Drug Dealing,87.0
Fremantle District,10,Drug Possession,670.0
Fremantle District,10,Forgery,5.0
Fremantle District,10,Fraud (Credit Card),0.0
Fremantle District,10,Fraud (Not Elsewhere Classified),717.0
Fremantle District,10,Graffiti,620.0
Fremantle District,10,Kidnapping / Child Stealing,3.0
Fremantle District,10,Manslaughter,0.0
Fremantle District,10,Murder,4.0
Fremantle District,10,Non-Assaultive Sexual Offences,79.0
Fremantle District,10,Other Drug Offences,5.0
Fremantle District,10,Other Fire Related Offences,0.0
Fremantle District,10,Possess Stolen Property,134.0
Fremantle District,10,Possess Weapon to Cause Fear (Family),10.0
Fremantle District,10,Possess Weapon to Cause Fear (Non-Family),71.0
Fremantle District,10,Possession of Drug Paraphernalia,374.0
Fremantle District,10,Receiving Stolen Property,69.0
Fremantle District,10,Regulated Weapons Offences,158.0
Fremantle District,10,Robbery (Business),22.0
Fremantle District,10,Robbery (Non-Business),153.0
Fremantle District,10,Serious Assault (Family),114.0
Fremantle District,10,Serious Assault (Non-Family),354.0
Fremantle District,10,Sexual Assault,226.0
Fremantle District,10,Stealing (Not Elsewhere Classified),7567.0
Fremantle District,10,Stealing From Dwelling,0.0
Fremantle District,10,Stealing From Motor Vehicle (Contents or Parts),0.0
Fremantle District,10,Stealing From Other Premises or Place,0.0
Fremantle District,10,Stealing From Retail Premises (Shoplift),0.0
Fremantle District,10,Stealing as a Servant,35.0
Fremantle District,10,Stealing of Motor Vehicle,736.0
Fremantle District,10,Threatening Behaviour (Family),67.0
Fremantle District,10,Threatening Behaviour (Non-Family),118.0
Fremantle District,11,Assault Police Officer,64.0
Fremantle District,11,Attempted / Conspiracy to Murder,1.0
Fremantle District,11,Breach of Family Violence Restraint Order,270.0
Fremantle District,11,Breach of Police Order,64.0
Fremantle District,11,Breach of Violence Restraint Order,87.0
Fremantle District,11,Burglary (Dwelling),3053.0
Fremantle District,11,Burglary (Non-Dwelling),1067.0
Fremantle District,11,Cause Bushfire,20.0
Fremantle District,11,Cause Damage by Fire,81.0
Fremantle District,11,Common Assault (Family),566.0
Fremantle District,11,Common Assault (Non-Family),571.0
Fremantle District,11,Criminal Damage,381.0
Fremantle District,11,Cultivate or Manufacture Drugs,63.0
Fremantle District,11,Damage,2849.0
Fremantle District,11,Deprivation of Liberty,14.0
Fremantle District,11,Driving Causing Death,2.0
Fremantle District,11,Drug Dealing,80.0
Fremantle District,11,Drug Possession,567.0
Fremantle District,11,Forgery,18.0
Fremantle District,11,Fraud (Credit Card),0.0
Fremantle District,11,Fraud (Not Elsewhere Classified),770.0
Fremantle District,11,Graffiti,613.0
Fremantle District,11,Kidnapping / Child Stealing,1.0
Fremantle District,11,Manslaughter,0.0
Fremantle District,11,Murder,1.0
Fremantle District,11,Non-Assaultive Sexual Offences,84.0
Fremantle District,11,Other Drug Offences,5.0
Fremantle District,11,Other Fire Related Offences,0.0
Fremantle District,11,Possess Stolen Property,143.0
Fremantle District,11,Possess Weapon to Cause Fear (Family),16.0
Fremantle District,11,Possess Weapon to Cause Fear (Non-Family),92.0
Fremantle District,11,Possession of Drug Paraphernalia,335.0
Fremantle District,11,Receiving Stolen Property,39.0
Fremantle District,11,Regulated Weapons Offences,158.0
Fremantle District,11,Robbery (Business),26.0
Fremantle District,11,Robbery (Non-Business),125.0
Fremantle District,11,Serious Assault (Family),108.0
Fremantle District,11,Serious Assault (Non-Family),320.0
Fremantle District,11,Sexual Assault,197.0
Fremantle District,11,Stealing (Not Elsewhere Classified),8823.0
Fremantle District,11,Stealing From Dwelling,0.0
Fremantle District,11,Stealing From Motor Vehicle (Contents or Parts),0.0
Fremantle District,11,Stealing From Other Premises or Place,0.0
Fremantle District,11,Stealing From Retail Premises (Shoplift),0.0
Fremantle District,11,Stealing as a Servant,37.0
Fremantle District,11,Stealing of Motor Vehicle,918.0
Fremantle District,11,Threatening Behaviour (Family),76.0
Fremantle District,11,Threatening Behaviour (Non-Family),107.0
Fremantle District,12,Assault Police Officer,58.0
Fremantle District,12,Attempted / Conspiracy to Murder,1.0
Fremantle District,12,Breach of Family Violence Restraint Order,653.0
Fremantle District,12,Breach of Police Order,95.0
Fremantle District,12,Breach of Violence Restraint Order,82.0
Fremantle District,12,Burglary (Dwelling),3424.0
Fremantle District,12,Burglary (Non-Dwelling),1090.0
Fremantle District,12,Cause Bushfire,4.0
Fremantle District,12,Cause Damage by Fire,91.0
Fremantle District,12,Common Assault (Family),682.0
Fremantle District,12,Common Assault (Non-Family),666.0
Fremantle District,12,Criminal Damage,377.0
Fremantle District,12,Cultivate or Manufacture Drugs,47.0
Fremantle District,12,Damage,2495.0
Fremantle District,12,Deprivation of Liberty,12.0
Fremantle District,12,Driving Causing Death,6.0
Fremantle District,12,Drug Dealing,97.0
Fremantle District,12,Drug Possession,775.0
Fremantle District,12,Forgery,17.0
Fremantle District,12,Fraud (Credit Card),0.0
Fremantle District,12,Fraud (Not Elsewhere Classified),1974.0
Fremantle District,12,Graffiti,386.0
Fremantle District,12,Kidnapping / Child Stealing,4.0
Fremantle District,12,Manslaughter,0.0
Fremantle District,12,Murder,4.0
Fremantle District,12,Non-Assaultive Sexual Offences,47.0
Fremantle District,12,Other Drug Offences,8.0
Fremantle District,12,Other Fire Related Offences,0.0
Fremantle District,12,Possess Stolen Property,178.0
Fremantle District,12,Possess Weapon to Cause Fear (Family),23.0
Fremantle District,12,Possess Weapon to Cause Fear (Non-Family),90.0
Fremantle District,12,Possession of Drug Paraphernalia,447.0
Fremantle District,12,Receiving Stolen Property,65.0
Fremantle District,12,Regulated Weapons Offences,197.0
Fremantle District,12,Robbery (Business),46.0
Fremantle District,12,Robbery (Non-Business),142.0
Fremantle District,12,Serious Assault (Family),167.0
Fremantle District,12,Serious Assault (Non-Family),301.0
Fremantle District,12,Sexual Assault,179.0
Fremantle District,12,Stealing (Not Elsewhere Classified),8125.0
Fremantle District,12,Stealing From Dwelling,0.0
Fremantle District,12,Stealing From Motor Vehicle (Contents or Parts),0.0
Fremantle District,12,Stealing From Other Premises or Place,0.0
Fremantle District,12,Stealing From Retail Premises (Shoplift),0.0
Fremantle District,12,Stealing as a Servant,41.0
Fremantle District,12,Stealing of Motor Vehicle,964.0
Fremantle District,12,Threatening Behaviour (Family),85.0
Fremantle District,12,Threatening Behaviour (Non-Family),99.0
Fremantle District,13,Assault Police Officer,58.0
Fremantle District,13,Attempted / Conspiracy to Murder,0.0
Fremantle District,13,Breach of Family Violence Restraint Order,531.0
Fremantle District,13,Breach of Police Order,113.0
Fremantle District,13,Breach of Violence Restraint Order,77.0
Fremantle District,13,Burglary (Dwelling),3046.0
Fremantle District,13,Burglary (Non-Dwelling),1039.0
Fremantle District,13,Cause Bushfire,2.0
Fremantle District,13,Cause Damage by Fire,62.0
Fremantle District,13,Common Assault (Family),798.0
Fremantle District,13,Common Assault (Non-Family),490.0
Fremantle District,13,Criminal Damage,469.0
Fremantle District,13,Cultivate or Manufacture Drugs,60.0
Fremantle District,13,Damage,2284.0
Fremantle District,13,Deprivation of Liberty,13.0
Fremantle District,13,Driving Causing Death,4.0
Fremantle District,13,Drug Dealing,119.0
Fremantle District,13,Drug Possession,861.0
Fremantle District,13,Forgery,42.0
Fremantle District,13,Fraud (Credit Card),0.0
Fremantle District,13,Fraud (Not Elsewhere Classified),2643.0
Fremantle District,13,Graffiti,447.0
Fremantle District,13,Kidnapping / Child Stealing,1.0
Fremantle District,13,Manslaughter,0.0
Fremantle District,13,Murder,1.0
Fremantle District,13,Non-Assaultive Sexual Offences,74.0
Fremantle District,13,Other Drug Offences,11.0
Fremantle District,13,Other Fire Related Offences,1.0
Fremantle District,13,Possess Stolen Property,179.0
Fremantle District,13,Possess Weapon to Cause Fear (Family),36.0
Fremantle District,13,Possess Weapon to Cause Fear (Non-Family),112.0
Fremantle District,13,Possession of Drug Paraphernalia,512.0
Fremantle District,13,Receiving Stolen Property,61.0
Fremantle District,13,Regulated Weapons Offences,233.0
Fremantle District,13,Robbery (Business),23.0
Fremantle District,13,Robbery (Non-Business),117.0
Fremantle District,13,Serious Assault (Family),171.0
Fremantle District,13,Serious Assault (Non-Family),364.0
Fremantle District,13,Sexual Assault,294.0
Fremantle District,13,Stealing (Not Elsewhere Classified),8166.0
Fremantle District,13,Stealing From Dwelling,0.0
Fremantle District,13,Stealing From Motor Vehicle (Contents or Parts),0.0
Fremantle District,13,Stealing From Other Premises or Place,0.0
Fremantle District,13,Stealing From Retail Premises (Shoplift),0.0
Fremantle District,13,Stealing as a Servant,34.0
Fremantle District,13,Stealing of Motor Vehicle,963.0
Fremantle District,13,Threatening Behaviour (Family),113.0
Fremantle District,13,Threatening Behaviour (Non-Family),96.0
Fremantle District,14,Assault Police Officer,54.0
Fremantle District,14,Attempted / Conspiracy to Murder,1.0
Fremantle District,14,Breach of Family Violence Restraint Order,426.0
Fremantle District,14,Breach of Police Order,125.0
Fremantle District,14,Breach of Violence Restraint Order,79.0
Fremantle District,14,Burglary (Dwelling),2898.0
Fremantle District,14,Burglary (Non-Dwelling),1109.0
Fremantle District,14,Cause Bushfire,9.0
Fremantle District,14,Cause Damage by Fire,65.0
Fremantle District,14,Common Assault (Family),991.0
Fremantle District,14,Common Assault (Non-Family),485.0
Fremantle District,14,Criminal Damage,448.0
Fremantle District,14,Cultivate or Manufacture Drugs,72.0
Fremantle District,14,Damage,2214.0
Fremantle District,14,Deprivation of Liberty,15.0
Fremantle District,14,Driving Causing Death,7.0
Fremantle District,14,Drug Dealing,225.0
Fremantle District,14,Drug Possession,1038.0
Fremantle District,14,Forgery,11.0
Fremantle District,14,Fraud (Credit Card),0.0
Fremantle District,14,Fraud (Not Elsewhere Classified),1958.0
Fremantle District,14,Graffiti,175.0
Fremantle District,14,Kidnapping / Child Stealing,2.0
Fremantle District,14,Manslaughter,1.0
Fremantle District,14,Murder,4.0
Fremantle District,14,Non-Assaultive Sexual Offences,186.0
Fremantle District,14,Other Drug Offences,6.0
Fremantle District,14,Other Fire Related Offences,2.0
Fremantle District,14,Possess Stolen Property,274.0
Fremantle District,14,Possess Weapon to Cause Fear (Family),22.0
Fremantle District,14,Possess Weapon to Cause Fear (Non-Family),108.0
Fremantle District,14,Possession of Drug Paraphernalia,651.0
Fremantle District,14,Receiving Stolen Property,85.0
Fremantle District,14,Regulated Weapons Offences,318.0
Fremantle District,14,Robbery (Business),20.0
Fremantle District,14,Robbery (Non-Business),103.0
Fremantle District,14,Serious Assault (Family),136.0
Fremantle District,14,Serious Assault (Non-Family),286.0
Fremantle District,14,Sexual Assault,339.0
Fremantle District,14,Stealing (Not Elsewhere Classified),8911.0
Fremantle District,14,Stealing From Dwelling,0.0
Fremantle District,14,Stealing From Motor Vehicle (Contents or Parts),0.0
Fremantle District,14,Stealing From Other Premises or Place,0.0
Fremantle District,14,Stealing From Retail Premises (Shoplift),0.0
Fremantle District,14,Stealing as a Servant,31.0
Fremantle District,14,Stealing of Motor Vehicle,1004.0
Fremantle District,14,Threatening Behaviour (Family),111.0
Fremantle District,14,Threatening Behaviour (Non-Family),136.0
Fremantle District,15,Assault Police Officer,69.0
Fremantle District,15,Attempted / Conspiracy to Murder,0.0
Fremantle District,15,Breach of Family Violence Restraint Order,442.0
Fremantle District,15,Breach of Police Order,131.0
Fremantle District,15,Breach of Violence Restraint Order,82.0
Fremantle District,15,Burglary (Dwelling),2792.0
Fremantle District,15,Burglary (Non-Dwelling),1080.0
Fremantle District,15,Cause Bushfire,33.0
Fremantle District,15,Cause Damage by Fire,87.0
Fremantle District,15,Common Assault (Family),1115.0
Fremantle District,15,Common Assault (Non-Family),552.0
Fremantle District,15,Criminal Damage,601.0
Fremantle District,15,Cultivate or Manufacture Drugs,53.0
Fremantle District,15,Damage,2830.0
Fremantle District,15,Deprivation of Liberty,14.0
Fremantle District,15,Driving Causing Death,6.0
Fremantle District,15,Drug Dealing,178.0
Fremantle District,15,Drug Possession,1335.0
Fremantle District,15,Forgery,19.0
Fremantle District,15,Fraud (Credit Card),0.0
Fremantle District,15,Fraud (Not Elsewhere Classified),2454.0
Fremantle District,15,Graffiti,231.0
Fremantle District,15,Kidnapping / Child Stealing,8.0
Fremantle District,15,Manslaughter,0.0
Fremantle District,15,Murder,4.0
Fremantle District,15,Non-Assaultive Sexual Offences,57.0
Fremantle District,15,Other Drug Offences,17.0
Fremantle District,15,Other Fire Related Offences,1.0
Fremantle District,15,Possess Stolen Property,356.0
Fremantle District,15,Possess Weapon to Cause Fear (Family),35.0
Fremantle District,15,Possess Weapon to Cause Fear (Non-Family),138.0
Fremantle District,15,Possession of Drug Paraphernalia,878.0
Fremantle District,15,Receiving Stolen Property,64.0
Fremantle District,15,Regulated Weapons Offences,311.0
Fremantle District,15,Robbery (Business),19.0
Fremantle District,15,Robbery (Non-Business),80.0
Fremantle District,15,Serious Assault (Family),190.0
Fremantle District,15,Serious Assault (Non-Family),288.0
Fremantle District,15,Sexual Assault,212.0
Fremantle District,15,Stealing (Not Elsewhere Classified),11298.0
Fremantle District,15,Stealing From Dwelling,0.0
Fremantle District,15,Stealing From Motor Vehicle (Contents or Parts),0.0
Fremantle District,15,Stealing From Other Premises or Place,0.0
Fremantle District,15,Stealing From Retail Premises (Shoplift),0.0
Fremantle District,15,Stealing as a Servant,33.0
Fremantle District,15,Stealing of Motor Vehicle,883.0
Fremantle District,15,Threatening Behaviour (Family),170.0
Fremantle District,15,Threatening Behaviour (Non-Family),158.0
Fremantle District,16,Assault Police Officer,62.0
Fremantle District,16,Attempted / Conspiracy to Murder,4.0
Fremantle District,16,Breach of Family Violence Restraint Order,412.0
Fremantle District,16,Breach of Police Order,101.0
Fremantle District,16,Breach of Violence Restraint Order,83.0
Fremantle District,16,Burglary (Dwelling),2759.0
Fremantle District,16,Burglary (Non-Dwelling),1033.0
Fremantle District,16,Cause Bushfire,1.0
Fremantle District,16,Cause Damage by Fire,71.0
Fremantle District,16,Common Assault (Family),1066.0
Fremantle District,16,Common Assault (Non-Family),583.0
Fremantle District,16,Criminal Damage,590.0
Fremantle District,16,Cultivate or Manufacture Drugs,40.0
Fremantle District,16,Damage,2483.0
Fremantle District,16,Deprivation of Liberty,20.0
Fremantle District,16,Driving Causing Death,0.0
Fremantle District,16,Drug Dealing,215.0
Fremantle District,16,Drug Possession,1433.0
Fremantle District,16,Forgery,17.0
Fremantle District,16,Fraud (Credit Card),0.0
Fremantle District,16,Fraud (Not Elsewhere Classified),1887.0
Fremantle District,16,Graffiti,109.0
Fremantle District,16,Kidnapping / Child Stealing,1.0
Fremantle District,16,Manslaughter,1.0
Fremantle District,16,Murder,4.0
Fremantle District,16,Non-Assaultive Sexual Offences,110.0
Fremantle District,16,Other Drug Offences,22.0
Fremantle District,16,Other Fire Related Offences,2.0
Fremantle District,16,Possess Stolen Property,379.0
Fremantle District,16,Possess Weapon to Cause Fear (Family),47.0
Fremantle District,16,Possess Weapon to Cause Fear (Non-Family),135.0
Fremantle District,16,Possession of Drug Paraphernalia,1011.0
Fremantle District,16,Receiving Stolen Property,67.0
Fremantle District,16,Regulated Weapons Offences,406.0
Fremantle District,16,Robbery (Business),20.0
Fremantle District,16,Robbery (Non-Business),118.0
Fremantle District,16,Serious Assault (Family),207.0
Fremantle District,16,Serious Assault (Non-Family),283.0
Fremantle District,16,Sexual Assault,237.0
Fremantle District,16,Stealing (Not Elsewhere Classified),10556.0
Fremantle District,16,Stealing From Dwelling,0.0
Fremantle District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Fremantle District,16,Stealing From Other Premises or Place,0.0
Fremantle District,16,Stealing From Retail Premises (Shoplift),0.0
Fremantle District,16,Stealing as a Servant,23.0
Fremantle District,16,Stealing of Motor Vehicle,733.0
Fremantle District,16,Threatening Behaviour (Family),166.0
Fremantle District,16,Threatening Behaviour (Non-Family),162.0
Fremantle District,17,Assault Police Officer,59.0
Fremantle District,17,Attempted / Conspiracy to Murder,0.0
Fremantle District,17,Breach of Family Violence Restraint Order,437.0
Fremantle District,17,Breach of Police Order,88.0
Fremantle District,17,Breach of Violence Restraint Order,85.0
Fremantle District,17,Burglary (Dwelling),2995.0
Fremantle District,17,Burglary (Non-Dwelling),753.0
Fremantle District,17,Cause Bushfire,5.0
Fremantle District,17,Cause Damage by Fire,64.0
Fremantle District,17,Common Assault (Family),987.0
Fremantle District,17,Common Assault (Non-Family),610.0
Fremantle District,17,Criminal Damage,644.0
Fremantle District,17,Cultivate or Manufacture Drugs,43.0
Fremantle District,17,Damage,2285.0
Fremantle District,17,Deprivation of Liberty,25.0
Fremantle District,17,Driving Causing Death,1.0
Fremantle District,17,Drug Dealing,115.0
Fremantle District,17,Drug Possession,1211.0
Fremantle District,17,Forgery,35.0
Fremantle District,17,Fraud (Credit Card),2020.0
Fremantle District,17,Fraud (Not Elsewhere Classified),964.0
Fremantle District,17,Graffiti,137.0
Fremantle District,17,Kidnapping / Child Stealing,4.0
Fremantle District,17,Manslaughter,1.0
Fremantle District,17,Murder,1.0
Fremantle District,17,Non-Assaultive Sexual Offences,109.0
Fremantle District,17,Other Drug Offences,14.0
Fremantle District,17,Other Fire Related Offences,4.0
Fremantle District,17,Possess Stolen Property,346.0
Fremantle District,17,Possess Weapon to Cause Fear (Family),37.0
Fremantle District,17,Possess Weapon to Cause Fear (Non-Family),133.0
Fremantle District,17,Possession of Drug Paraphernalia,820.0
Fremantle District,17,Receiving Stolen Property,51.0
Fremantle District,17,Regulated Weapons Offences,276.0
Fremantle District,17,Robbery (Business),18.0
Fremantle District,17,Robbery (Non-Business),118.0
Fremantle District,17,Serious Assault (Family),193.0
Fremantle District,17,Serious Assault (Non-Family),321.0
Fremantle District,17,Sexual Assault,363.0
Fremantle District,17,Stealing (Not Elsewhere Classified),4264.0
Fremantle District,17,Stealing From Dwelling,881.0
Fremantle District,17,Stealing From Motor Vehicle (Contents or Parts),2326.0
Fremantle District,17,Stealing From Other Premises or Place,1558.0
Fremantle District,17,Stealing From Retail Premises (Shoplift),906.0
Fremantle District,17,Stealing as a Servant,23.0
Fremantle District,17,Stealing of Motor Vehicle,738.0
Fremantle District,17,Threatening Behaviour (Family),131.0
Fremantle District,17,Threatening Behaviour (Non-Family),168.0
Fremantle District,18,Assault Police Officer,59.0
Fremantle District,18,Attempted / Conspiracy to Murder,0.0
Fremantle District,18,Breach of Family Violence Restraint Order,572.0
Fremantle District,18,Breach of Police Order,117.0
Fremantle District,18,Breach of Violence Restraint Order,47.0
Fremantle District,18,Burglary (Dwelling),2430.0
Fremantle District,18,Burglary (Non-Dwelling),626.0
Fremantle District,18,Cause Bushfire,12.0
Fremantle District,18,Cause Damage by Fire,49.0
